article_name,content,neighborhood
Senior apartments envisioned for West Ridge's St. Scholastica Monastery,"In West Ridge, the Benedictine Sisters of Chicago are hoping a zone change will help sell a portion of its 14.5-acre St. Scholastica Monastery campus at 7430 N. Ridge Boulevard to a senior housing developer. No buyer has come forward, but real estate consultants working on behalf of the monastic Roman Catholic community believe a 3-acre piece of the property could support a four- to five-story independent living facility with between 80 and 100 apartments. The Benedictine Sisters have been in Chicago since the mid-1800s, but the group's numbers have declined. The sisters see the proposed independent living development as an opportunity to house its aging membership as well as other seniors living in the surrounding community. ""Our building at one point housed close to 200 women and now we're in the mid-20s and our median age is in the low 80s,"" said Sister Judith Murphy at a Monday night virtual community meeting hosted by Ald. Maria Hadden (49th). ""If we can find a developer to buy the property from us and build, own, and operate a senior housing facility ... It would be a win-win for us and the neighborhood."" A conceptual site plan prepared for the sisters by OKW Architects envisions the new structure at the north end of the St. Scholastica campus. The plan also calls for 134 parking spaces with primary vehicular access from Ridge Road but could include a western connection to Oakley Avenue.  The property's existing school, infirmary, and historic chapel would not be affected, but a two-story residential building and a community garden would be demolished. A portion of the running track along the western edge of the property will need to be realigned to make room for the proposed development. The site at 7430 N. Ridge is currently zoned for charitable educational/institutional uses under an existing Planned Development that would need to be amended to allow a senior living facility. The amendment would trigger the city's Affordable Requirement Ordinance and require any potential developer to provide a percentage of below-market-rate apartments.  The sisters hope to secure the zoning amendment from the city to help market the site to potential buyers. ""Once this additional use is added to this particular parcel, it will allow [the sisters] to start shopping around for developers,"" explained Ald. Hadden.  ""We're not considering any particular development right now, the details aren't there at this time,"" Hadden added. ""We are being asked to consider how we feel about allowing [the senior living] use on this property."" The alderwoman said her office will continue to collect feedback about the plan and will soon distribute an online survey to the community.  ",Rogers Park
Urbanize tours recently completed 3140 N. Clybourn,"Urbanize recently toured the newly completed mixed-use development at 3140 N. Clybourn. Planned by Range Group, the project occupies a formerly vacant parcel along N. Clybourn Ave south of the intersection of W. Belmont Ave and N. Western Ave.  Designed by Level Architecture, the five-story building is clad in dark corrugated metal with accents of aluminum metal paneling, creating texture and shadow on the facade. Balconies break up the facade and hang off the back elevation to provide outdoor space for select units. Starting our tour on the ground floor, the residential entry is located towards the northern side of the street frontage and includes a mail room and dedicated fitness center for tenants. The building features 3,100 square feet of ground floor retail space overlooking N. Clybourn Ave which is available for lease and is divisible. Bike parking and parking for 27 cars occupies the back of the ground floor. Heading up into the building, we next saw the outdoor amenity deck. Facing south, the roof deck offers extensive views of downtown and towards the lakefront. Residents will have access to the exterior space which includes seating and a large grilling station in addition to an interior amenity space with kitchenette. Our final stop was the model unit where we saw a two-bedroom unit on the southeast corner of the building overlooking the street. Select units have balconies and this unit featured a south-facing balcony with views of the city. Select floor plans on the second feature large outdoor decks at the back of the building. With construction wrapped up, the first residents moved in starting in mid-July and leasing is ongoing.  ",Roscoe Village
Permit issued at 3125 N. Clybourn for second of two condo buildings,"A full building permit has been issued for the residential development at 3125 N. Clybourn, set to be the second of two new condominium buildings on the property. Located in Roscoe Village, the property was previously occupied by a two-story building and surface parking lot that have been demolished. Bresani LLC is the developer behind the project. Designed by 360 Design Studio, the two residential buildings will be nearly identical, rising next to each other on the site with six condominiums each, totaling 12 new homes. With a 1:1 parking ratio, 12 parking spaces will be located along the alley and the development will provide two bike parking spaces per unit. Condo owners will have private balconies along the front of the building and there will be a private roof deck.  Recently approved by the Zoning Board of Appeals, both buildings have requested and now received special uses to allow for residential use on the ground floor. The project design does not include any commercial space and condo units will include space on the ground floor. With both permits issued, general contractor Platinum Homes Development can begin construction on the new project and complete both buildings. ",Roscoe Village
Permit issued at 3121 N. Clybourn for first of two condo buildings,"A full building permit has been issued for the residential development at 3121 N. Clybourn, set to be the first of two new condominium buildings on the property. Located in Roscoe Village, the property is currently occupied by a two-story building and surface parking lot that used to house a vet hospital. Bresani LLC is the developer behind the project. Designed by 360 Design Studio, the two residential buildings will be nearly identical, rising next to each other on the site with six condominiums each, totaling 12 new homes. With a 1:1 parking ratio, 12 parking spaces will be located along the alley and the development will provide two bike parking spaces per unit. Condo owners will have private balconies along the front of the building and there will be a private roof deck.  Recently approved by the Zoning Board of Appeals, both buildings have requested and now received special uses to allow for residential use on the ground floor. The project design does not include any commercial space and condo units will include space on the ground floor. With the first permit issued, general contractor Platinum Homes Development can begin construction on the new project. The second building, addressed at 3125 N. Clybourn, is awaiting the issuance of its respective permit. ",Roscoe Village
3121 N. Clybourn receives ZBA approval,"The Zoning Board of Appeals has approved a set of special use applications for a residential development at 3121 N. Clybourn. Located in Roscoe Village, the property is currently occupied by a two-story building and surface parking lot that used to house a vet hospital. Bresani LLC is the developer behind the project. Designed by 360 Design Studio, the two residential buildings will be nearly identical, rising next to each other on the site with six condominiums each, totaling 12 new homes. With a 1:1 parking ratio, 12 parking spaces will be located along the alley and the development will provide two bike parking spaces per unit. Approved by the Zoning Board of Appeals, both buildings have requested and now received special uses to allow for residential use on the ground floor. The project design does not include any commercial space and condo units will include space on the ground floor. With the zoning variations approved, the developer can proceed with permitting and construction. Addressed as 3121 N. Clybourn and 3125 N. Clybourn, permits for both buildings are awaiting issuance. ",Roscoe Village
Permits issued for 3140 N. Clybourn,"A full building permit has been issued for a mixed-use development at 3140 N. Clybourn. Occupying a currently vacant parcel, the project site is located along N. Clybourn Ave to the south of the intersection of W. Belmont Ave and N. Western Ave. The development is being led by Chicago-based Range Group, who acquired the lot in 2022. Dubbed The Clybourn, the project’s design is coming from local firm Level Architecture. The five-story building will be clad in dark corrugated metal with accents of aluminum metal paneling, creating texture and shadow. Balconies will break up the facade and hang off the back elevation to provide outdoor space for select units. The ground floor will hold retail space that fronts N. Clybourn Ave, with the residential entry towards the northern side of the street frontage. A fitness center, bike parking, and parking for 27 cars will complete the ground floor. On the upper four floors, 39 apartments will be split into one-beds, two-beds, and three-beds. The building will have a rooftop amenity area and outdoor deck. With the project moving forward under the existing zoning, no city approvals were needed. With the full building permit issued, general contractor McNea and Sons Construction can begin construction. Apartments are set to be delivered in 2024. ",Roscoe Village
Zoning application filed for Morgan Park Commons,"A zoning application has been filed for Morgan Park Commons, a proposed mixed-use development located at the northwest corner of W. 115th St and S. Halsted St. Addressed at 11420 S. Halsted, the new multi-phase development would be built on the 12-acre site of a former Jewel-Osco that has been vacant for over 16 years. Planned by the Far South Community Development Corporation, the site will be split up into multiple phases encompassing 258 residential units, 16,150 square feet of retail space, and a new 2.3-acre park with community center for the neighborhood.  Designed by Lamar Johnson Collaborative, the first phase will include two five-story mixed-use buildings. Topping out at 50 feet tall, the buildings will each have 42 apartments, 42 bike parking spaces, and 32 parking spaces. The buildings will front S. Halsted St, stretching from W. 114th St down to W. 115th St, separated by W. 114th Pl. Future phases will include more residential, the park, and a community center. The zoning application does not show the design for the future phases but the developer will need incremental approval from the city.  To allow for the project to move forward, the development needs to be rezone from its existing Planned Development to B3-3 with a new Planned Development designation. Approvals will be needed from the Chicago Plan Commission, Committee on Zoning, and City Council.  ",Roseland
Plan Commission adopts RLE transit development plan,"The Chicago Plan Commission has approved and adopted the Red Line Extension (RLE) Transit-Supportive Development Plan. Conceived to help guide development around the upcoming Red Line Extension, the plan sets land use goals and expectations for new community and economic development anticipated as a result of the extension connecting the Far South neighborhoods to the CTA L network. With work underway on the design, the $3.6 billion Red Line Extension will extend the Red Line by 5.6 miles from the current 95th Street terminus down to 130th Street. With four new stations, the Red Line will begin stopping at 103rd and Eggleston, 111th and Eggleston, Michigan Ave near 116th, and 130th St near Altgeld Gardens. The project also includes a train storage yard and maintenance shop facility, located along the new tracks near 120th St.  The plan outlines four main goals which include increasing residential development variety and affordability; strengthening commercial, retail, and mixed-use development; enhancing public space and greater transportation access; and encouraging economic development, business, and employment generators. A market analysis has shown that this area’s population has been in decline for the last two decades and highlights the need for the Red Line Extension investment to help stabilize the surrounding neighborhoods and recover the lost population. With a land use strategy of development without displacement, the plan sets up an outline for balanced and responsible development to stabilize and increase the population. Strategies include investing in the community though rehabilitation, repair, and reuse of existing buildings; building new catalyst, mixed-use development on lots closest to the stations to spur additional investment; infill the neighborhood with new homes on vacant lots; and to build new mixed-use, commercial, and multifamily developments along major corridors. These options are not necessarily expected to be chronological but can happen at the same time. Envisioning development at each station, the 103rd St station would be seen as an active community hub with new mixed-use buildings next to the station while having a variety of multifamily residential buildings further away. DPD expects there to be the potential for 13,000 square feet of retail space, 800 new housing units, and $360 million in development potential. For the stop at 111th St, the area is being planned as a health and wellness district, with new mixed-use development near the station stepping down in scale as it gets deeper into the neighborhood and connecting to the Roseland Medical District near S. Michigan Ave. DPD expects this area to have a potential for 11,000 square feet of retail, 880 housing units, and $460 million in development potential. At Michigan Ave near 116th, the station area would be seen as a thriving commercial corridor. With the largest potential investment of $850 million, there would be multiple large, mixed-use developments near the station with a potential for 72,000 square feet of retail and 2,100 housing units. Down by Altgeld Gardens, the final station area at 130th is set to become a vibrant and connected community. With the CHA housing already in place, there isn’t as much room for economic development. DPD expects there could be 22,000 square feet of retail and just 55 housing units added to the area with a development potential of $37 million.  With adoption by the Chicago Plan Commission, the next steps for this plan will include attracting development to the key catalyst sites by DPD and implementing the economic development strategies. Going forward, this document will be the framework for development as DPD and CTA coordinate on the construction of the Red Line Extension.  CTA is looking to award the design/build construction contracts by the end of 2024 and begin construction in 2025. The Red Line Extension is targeting a 2029 completion. ",Roseland
Preliminary landmark approved for Greater Tabernacle Cathedral,"The Commission on Chicago Landmarks has approved a preliminary landmark recommendation for the Greater Tabernacle Cathedral. Located at 11300 S. Dr. Martin Luther King Jr. Drive, the church was originally the Holy Rosary Catholic Church when it opened in 1890.  Meeting Criterion 1 for heritage, the church traces its origins back to the early settlement of Roseland and Pullman, which were linked economically and socially. The church was the first English-speaking Catholic parish in the area, serving a congregation of mostly Irish immigrants. The congregation flourished with hundreds of member families and by 1916 celebrated being free of their debts.  On March 4th, 1937, fire devastated the church and destroyed everything except for the exterior building structure and the bell tower, including all the interior artwork and ornamentation. The congregation rebuilt the church after the fire and the building has gone on to hold a total of three congregations - Holy Rosary Catholic Church, New Day Ministry International, and Greater Tabernacle Cathedral (since 2016). The building also meets Criterion 3 for its association with a significant person. From 1985-1988, Barack Obama led the Developing Communities Project as its executive director from its organization headquarters in the rectory of Greater Tabernacle Cathedral. As a faith-based organization, DCP was incorporated as a non-profit in 1986 under Obama’s lead and established programming to support the local community through job training, college preparation tutoring, and tenants' rights organizing for the Altgeld Gardens housing projects. With its Romanesque Revival design, the church also meets Criterion 4 for its exemplary architecture. Designed by Solon S. Beman, the church is monumental yet restrained as it features limited ornamentation and its exterior is dominated by projecting cross gable roofs, monumental arched windows, and the juxtaposition between the red brick exterior and limestone base. The church is completed with a commanding bell tower that stands 85 feet tall.  In contrast to the design of the church, the rectory sits at the western end of the complex with an austere design that is absent of ornamentation. Rectangular in plan and two stories in height, the building is crowned by a cascading hipped roof and accentuated with prominent gable dormers and shed dormers. Clad in a dark brown brick, the facade is limited in ornamentation to just inset limestone blocks at gable ends, peaks of gabled dormers, and at gabled dormers as well as the simple relief work below the crown of chimneys on the west and south elevations. For its standing as a work of Solon S. Beman, the church also meets Criterion 5 for its status as a work of a significant architect. Beman was a renowned late 19th century and early 20th century architect who designed over 1,300 buildings in the company town of Pullman alone. Other notable works include the Fine Arts Building, Greenstone United Church, and many others. As it stands today, the church clearly retains its historic, architectural, and aesthetic integrity, allowing it to meet the separate Integrity Criterion. With staff recommending 1890 as its period of significance, changes from the 1960s will be outside of the period of significance as they aren’t consistent with the 19th century Romanesque qualities of the design by Beman. Changes include the update to the narthex which brought new interior finishes and new windows with mosaic tiles above the windows. The entrance also was revised with a stainless-steel canopy added alongside the installation of new doors and granite returns. With the preliminary landmark recommendation approved, the building’s significant features would be all exterior elevations including rooflines of the church and rectory buildings. Next steps include further review by landmarks staff before the commission votes on a final landmark recommendation to send the proposed designation to City Hall. There, the Committee on Zoning and City Council would need to vote on it before the church and rectory officially become Chicago landmarks. ",Roseland
CoD reviews Morgan Park Commons,"The Committee on Design has reviewed plans for Morgan Park Commons, a proposed mixed-use development located at the northwest corner of W. 115th St and S. Halsted St. Addressed at 11420 S. Halsted, the new multi-phase development would be built on the 12-acre site of a former Jewel-Osco that has been vacant for over 16 years. Planned by the Far South Community Development Corporation, the site will be split up into five phases encompassing 150 rental units, 136 townhomes, 18,750 square feet of retail space, and a new 3-acre park with fieldhouse for the neighborhood. Mixed-use apartment buildings will front the main streets of S. Halsted St and W. 115th St in the first two phases, with the third and fourth phases bringing the 136 townhomes. The three-acre park and fieldhouse are planned for the fifth phase, located along the Major Taylor Trail on the west side of the development site. With Lamar Johnson Collaborative on board for the design, the property has been split up with new roadways that will provide access to all of the townhomes and new park inside the large site. Two gateway plazas along S. Halsted St and W. 115th St will celebrate the entry into the development while offering larger spaces for pedestrians over cars. Within the development, streets have been designed as larger boulevards with green medians and more trees and planters. The discussion opened with Reed Kroloff, who questioned the strong axial street in the center of the site connecting east/west to S. Halsted St when there is already a street along the north boundary of the site. The architects responded that the northern street is being used as a service road, but Kroloff noted that it seems like there are a lot of internal streets and wondered if that center boulevard couldn’t be a great pedestrian avenue instead. The developer chimed in to agree that there could be some level of street elimination, but through the community process they added more parking and street access to appease the alderman and community concerns.   Hana Ishikawa commented next, saying that, in reality, most people will likely use that northern road to access the site. Southbound traffic would take it as the first access point while northbound traffic couldn’t use the access at the gateway plaza due to a median, resulting in a likely left turn into the north access point. Ishikawa also commented on the boulevards, calling them problematic due to their large dimension separating people. Additionally, Ishikawa saw the dead-end driveways as very confusing and could make it very hard to get in and out of the site.  Juan Moreno added his thoughts next, thinking that the boulevard should connect into a grander terminus at the park. Turning his attention to the preliminary concepts for the first phase buildings, Moreno commented that the residential entries are getting lost due to the prominence of the retail spaces. Additionally, Moreno commented that the team should spend more time on the back elevation of the buildings to ensure they don’t feel like the back side as they face the rest of the development.  Brian Lee joined the conversation next, noting that the circulation should be diminishing as you get closer to the buildings, and that boulevards can be very dividing. Lee also questioned whether the park should be completed in Phase 1 rather than Phase 5 to help attract residents to the development with that amenity from the start.  John Ronan was the last committee member to comment, beginning by applauding the initiative of building affordable housing. Ronan questioned why the plan departed abruptly in scale from the surrounding context and neglected to continue the urban grid into the parcel. Ronan commented that the taller height of the perimeter buildings gave a fortress-like reading.  The developer responded that the roadway design was based on the existing access points to the site and went the way of the existing fabric after engaging in conversations with CDOT regarding extending the existing streets into the site. In regard to the change in scale, the developer commented that this housing type was chosen due to the lack of it in the neighborhood and the effort to diversify housing in the neighborhood. Ronan closed off his comments by saying that they need to be careful, because if he described a development with larger buildings along the main corridors and shorter townhomes in between, he could be describing Cabrini-Green. Ronan urged that he doesn’t want new development to be making the same mistakes again.  As the development progresses, Far South CDC will need to amend the existing Planned Development on the site. Indicating future approvals from the Chicago Plan Commission, Committee on Zoning, and City Council. A timeline for the development has not been made public. ",Roseland
CoD reviews Roseland Community Medical District ,"The Committee on Design has reviewed the proposed Roseland Community Medical District. Planned for the Roseland neighborhood, the scope of the master plan is bounded by S. Eggleston Ave to the west, W. 110th St to the north, S. Edbrooke Ave to the east, and W. 112th St to the south.  The project is being put together by Adrian Smith + Gordon Gill Architecture, the Far South CDC, the Greater Roseland Chamber of Commerce, Chicago Neighborhood Initiatives, Applied Real Estate Analysis, and Johnson & Lee Architects.     Planned for a 95-acre region, the plan looks to create a catalytic investment and drive foot traffic to the historic Michigan Ave commercial corridor. Situated within an existing urban neighborhood, the district will reinvest in the community and improve access to healthcare for the community. Working with the CTA, the plan will consider and incorporate the future Red Line extension. With the current trend in healthcare focusing away from large, new hospitals, the district envisions new outpatient care for the neighborhood. The need for mixed-use programming is heavily weighted on outpatient goods and services for the support of healthy lifestyles. The plan looks to drive residential infill based on revitalization via the medical investments. The current plan has identified the intention of the Roseland Community Hospital to build a new surgery center and child birthing space above the existing emergency room. The concept also looks to develop an outpatient campus on three large sites at the intersection of W. 111th St and S. State St.  Planned to move forward through an RFP process, the phased development would include multiple buildings that step up in height to the corner. Medical buildings will line the main street frontages, while the interior of each parcel would be used for community programming including potential supportive housing or community center space. The two programs will be split by an interior spine of green space outdoors. The project also identified the Gately People’s Gas site at 112th and Michigan for redevelopment. As part of the larger plan, this redevelopment could aid in triggering infill development across the entire district.  The discussion opened with comments from Lesley Roth. Roth noticed the housing component and noted that there are many community organizations that are working to infill vacant sites with housing currently and the character of the streets are diverse, and the opportunity can carry more than single-family homes. Roth asked why housing is needed in the medical master plan rather than allowing community organizations to work in tandem to have a broader impact on the neighborhood.  The project team responded that the housing component came out of service providers needing housing within a certain distance of their facility and will focus on adult and youth behavioral supportive housing. With so much opportunity for housing infill, the district goes far beyond just medical space and will partner with those service providers to help fund and deliver housing infill.  Renauld Mitchell jumped in to say that there is a tremendous synergy between housing services and behavioral/mental health services. Mitchell said that they are sold and convinced of that connection.  Hana Ishikawa encouraged the design team to look at how the green sponges can feel more like campus connectors and whether they could be brought out to the public way. Ishikawa mentioned how interior courtyards can tend to not be as occupied as we would like them to and figuring a way to make sure it feels more like their space could improve the outdoor space on site. The project team responded that the design of the interior connector was based on the community concerns around safety and while the main investment is along the exterior, they also want to retain a safe passageway through the project. The team is looking to wrap up the plan by this June to begin the implementation later this year.  ",Roseland
Downtown Skokie's new tallest building comes together,"Work on downtown Skokie's tallest building is progressing at a rapid pace with a new developer at the helm of the 12-story project under construction at 8000 N. Lincoln Avenue. Known simply as 8000 North, the upcoming $70 million complex features 153 high-end rental units offered in studio, one-, two-, and three-bedroom floorplans. There's also an off-street motorcourt fronting Oakton Street, ground-floor retail space, and a parking garage the development shares with the Village of Skokie. Murphy Development Group took over the stalled project last year from a joint venture of Greenspire Capital and Hoffman Homes. The prior development team broke ground on 8000 North in the first part of 2018 but encountered a permit-related delay followed by the outbreak of the COVID-19 pandemic, which led to the site's construction crane coming down. While only the foundation and adjacent parking garage were complete when Murphy took control of the project last fall, the Skokie development has advanced considerably since then. When we went by the site this month, the structure had reached its full height and crews were busy installing precast facade panels that had arrived via flatbed truck. Designed by Chicago architecture firm Lucien Lagrange Studio, 8000 North has a more traditional appearance compared to many recent apartment developments. The beige concrete exterior is meant to look like stone blocks and features teal architecturalal flourishes—similar to Lucien Lagrange's Sixty West Erie tower in River North. John Murphy, chairman and CEO of Murphy Development Group, told Crain's that he expects work on the upcoming apartment complex at 8000 N. Lincoln Avenue to wrap-up later this year or in early 2022.   ",Skokie
Site plan approval secured for first building at Riverline,"The Chicago Department of Planning and Development has granted site plan approval for the first building to be constructed at Riverline. Developed by CMK Companies, the project will be located at 1010 S. Wells along the South Branch of the Chicago River. With Gensler behind the updated design, the 21-story tower will stand 227 feet tall. As part of the redesign, the building has shifted from 286 condos to 386 apartments. The building’s parking count has been reduced from 240 spaces to 182 parking spaces. The building will include 2,904 square feet of retail space on the ground floor.  As part of the redesign, the liner units on the podium have been substituted for building amenities and parking areas. The ground floor facades are proposed to remain with extensive full-height prefinished aluminum glass window system while the parking above ground level will be screened with multi-colored, perforated metal panels. The bulk of the residential tower will be clad in glass and aluminum window wall with a corrugated metal paneling cladding the mechanical penthouse at the top of the building.  The proposal will have its retail, residential, and vehicular access all off of S. Wells St as previously approved. The retail and parking entries have been pulled back to emphasize a tall, fully glazed residential lobby and to define an entry plaza at Wells and Taylor Street. The site will include a section of public riverwalk along the banks of the Chicago River and will be accessed via two access paths that run along the north and south sides of the building through open landscaped areas. A dog run will be included for residents. With site plan approval secured, the developer can move forward with permitting and construction on the project. While permits have been filed and are undergoing review, a timeline for construction is currently unknown. ",South Loop
Lendlease achieves stabilization at The Reed at Southbank,"Lendlease recently announced the stabilization of the apartments at The Reed at Southbank, the firm’s 41-story residential tower at 234 W. Polk St. in Chicago’s South Loop neighborhood. The rental units are now 95% occupied since the property welcomed its first residents last summer. Located along the Chicago River immediately south of the Loop, The Reed is the second high-rise completed in the 7-acre Southbank master plan. The property includes 226 apartments in a mix of studio, convertible, one-, two- and three-bedroom floor plans, in addition to 214 condominiums on the upper floors. This hybrid model provides flexible living options and allows for a wider range of shared amenities for all residents. “Renters have gravitated to The Reed’s exceptional amenities, industrial-modern design and unparalleled location along the riverfront, steps from the heart of downtown,” said Andrew Trickett, Managing Director, Investment Management, Lendlease. “These characteristics not only help create an incomparable living experience for our residents, but they are also the foundation for creating valuable assets to support our investment management strategy.” Designed by Perkins&WIll, apartments at The Reed feature 9-foot exposed concrete ceilings, wide-plank wood flooring and full-height windows showcasing views of the downtown skyline, adjacent Southbank Park and Chicago River. Select units also include balconies. The tower’s eighth-floor amenity suite includes a 15,000-square-foot outdoor deck with a resort-style pool and cabanas, sunning lawn, fire pits, fully equipped kitchens and adjacent dining areas. Additional amenities include a wet lounge adjacent to the pool deck; indoor-outdoor fitness center with dedicated HIIT and yoga spaces; show kitchen and dining room; lounge room with TVs, a pool table and seating areas that can double as workspaces; virtual sports simulation room; salon; massage room; and media room. The hospitality-inspired lobby features a fireplace, bar, 24-hour concierge, mail and package rooms, bike storage and seating for remote work and small social gatherings. The Reed is immediately adjacent to Southbank Park, a 2-acre green space privately developed by Lendlease as a public amenity. The park features a central lawn, natural stone amphitheater and meandering walkways that connect to a new riverwalk, designed as an extension of the Chicago Riverwalk. Demonstrating Lendlease’s longstanding commitments to sustainability and wellness, The Reed holds LEED Gold, Fitwel and ENERGY STAR certifications. Green initiatives at the property include the use of a lower-carbon concrete mix during construction that substituted approximately 60% of the Portland cement with ash and slag; EV charging stations in the building’s private parking garage; an EV car-sharing program; and a partnership with The Roof Crop, which maintains rooftop gardens and apiaries from which flowers, produce and honey are harvested and shared with residents and local businesses. ",South Loop
City Council approves mixed-use development at 2328 S. Michigan,"The Chicago City Council has approved a mixed-use development located at 2328 S. Michigan. Planned by Fern Hill, the project site is located midblock between E. 23rd St and E. 24th St. The property previously held a Burger King that is surrounded by a vacant surface parking lot. Designed by Eckenhoff Saunders, the design splits the development into two massings on the front and back of the site. Along the street, the seven-story massing has been broken down, splitting the 175-foot-long frontage into three parts that are complementary in width and scale to surrounding buildings as part of the historic Motor Row District. The facades are clad in materials similar in tone to the district but not matching, including terracotta toned masonry, white glazed brick, and tan toned brick. On the back portion of the site, an 18-story midrise will rise approximately 170 feet tall. The volume was setback from the street to avoid being visible from within the historic district. The tower was designed to be neutral with an aluminum curtain wall, metal slab edge covers, and glass spandrel panels. The development will have 256 residential units with a unit mix of 88 studios, 136 one-beds, 32 two-beds. The project has 64 affordable units accounting for 25% of the units. The development is one of the first projects to take advantage of the floor area bonus under the Connected Communities ordinance where developers can swap parking spaces for affordable housing. The affordable units will be split into 22 studios, 34 one-beds, and 8 two-beds.  On the ground floor, the project fronts S. Michigan Ave with 3,000 square feet of retail space with the residential entry at the south end of the building’s frontage. 16 residential units will face an internal courtyard that separates the two massings. Ten parking spaces will be located along the alley with two loading spaces. 256 bike parking spaces will be provided in a bike room between the residential lobby and loading dock.  With City Council approval secured, the site will be rezoned from DS-5 to DX-5 with a Planned Development designation. The project will pay $1.66 million into the Neighborhood Opportunity Fund to receive a 3.1 FAR bonus and a 0.31 FAR bonus will be taken from the parking swap. With the project approved, the developers will turn their attention to securing financing for the $110 million development. Construction will begin as soon as financing is secured.  ",South Loop
Plan Commission approves mixed-use development at 2328 S. Michigan,"The Chicago Plan Commission has approved a mixed-use development located at 2328 S. Michigan. Planned by Fern Hill, the project site is located midblock between E. 23rd St and E. 24th St. The property previously held a Burger King that is surrounded by a vacant surface parking lot. Designed by Eckenhoff Saunders, the design splits the development into two massings on the front and back of the site. Along the street, the seven-story massing has been broken down, splitting the 175-foot-long frontage into three parts that are complementary in width and scale to surrounding buildings as part of the historic Motor Row District. The facades are clad in materials similar in tone to the district but not matching, including terracotta toned masonry, white glazed brick, and tan toned brick. On the back portion of the site, an 18-story midrise will rise approximately 170 feet tall. The volume was setback from the street to avoid being visible from within the historic district. The tower was designed to be neutral with an aluminum curtain wall, metal slab edge covers, and glass spandrel panels. The development will have 256 residential units with a unit mix of 88 studios, 136 one-beds, 32 two-beds. The project has 64 affordable units accounting for 25% of the units. The development is one of the first projects to take advantage of the floor area bonus under the Connected Communities ordinance where developers can swap parking spaces for affordable housing. The affordable units will be split into 22 studios, 34 one-beds, and 8 two-beds.  On the ground floor, the project fronts S. Michigan Ave with 3,000 square feet of retail space with the residential entry at the south end of the building’s frontage. 16 residential units will face an internal courtyard that separates the two massings. Ten parking spaces will be located along the alley with two loading spaces. 256 bike parking spaces will be provided in a bike room between the residential lobby and loading dock.  The developer is seeking to rezone the site from DS-5 to DX-5 with a Planned Development designation. The project will pay $1.66 million into the Neighborhood Opportunity Fund to receive a 3.1 FAR bonus and a 0.31 FAR bonus will be taken from the parking swap. With approval from the Chicago Plan Commission, the $110 million development can move forward and garner approval from the Committee on Zoning and City Council. Once approvals are secured, the team would be seeking to secure financing. Construction will begin as soon as financing is secured.  ",South Loop
